runtime,popularity,vote_average,popularity_log,runtime_category,runtime_squared,runtime_x_rating,rating_category
96.0,92.201962,7.7,4.534768772972112,Standard,9216.0,739.2,Good
94.0,36.167578000000006,6.0,3.6154368221108215,Standard,8836.0,564.0,Average
126.0,120.725053,7.4,4.801764837476351,Long,15876.0,932.4000000000001,Good
126.0,32.319043,7.0,3.5061290953975766,Long,15876.0,882.0,Good
106.0,40.748915,5.1,3.731673462935218,Standard,11236.0,540.5999999999999,Average
112.0,60.034162,5.2,4.11143374020036,Standard,12544.0,582.4,Average
123.0,90.23792,5.9,4.51347060013748,Long,15129.0,725.7,Average
96.0,27.082182,5.3,3.335135282691319,Standard,9216.0,508.79999999999995,Average
113.0,79.456485,7.6,4.387716479263615,Standard,12769.0,858.8,Good
135.0,44.640291999999995,5.9,3.8207909228699903,Long,18225.0,796.5,Average
118.0,32.852443,5.6,3.5220111680982233,Standard,13924.0,660.8,Average
94.0,128.65596399999998,8.0,4.864884511697977,Standard,8836.0,752.0,Good
106.0,94.199316,6.7,4.5559727568975585,Standard,11236.0,710.2,Good
124.0,77.30019399999998,6.6,4.360550080643751,Long,15376.0,818.4,Good
127.0,77.178973,5.8,4.359000723926518,Long,16129.0,736.6,Average
97.0,110.620647,7.0,4.715106041795737,Standard,9409.0,679.0,Good
130.0,243.79174300000005,7.3,5.500407820494153,Long,16900.0,949.0,Good
109.0,2.418535,4.8,1.2292120967279583,Standard,11881.0,523.1999999999999,Low
119.0,41.796339,5.9,3.756452561546043,Standard,14161.0,702.1,Average
136.0,72.22526500000002,7.6,4.293540511689837,Long,18496.0,1033.6,Good
93.0,44.041186,6.0,3.8075773156339507,Standard,8649.0,558.0,Average
130.0,130.311355,6.2,4.877571258909897,Long,16900.0,806.0,Average
102.0,203.73459,7.8,5.321714457385551,Standard,10404.0,795.6,Good
108.0,62.341073,7.1,4.14853398128908,Standard,11664.0,766.8,Good
100.0,47.323228,6.4,3.8779123560309907,Standard,10000.0,640.0,Average
120.0,48.775723,4.9,3.9075273752089066,Standard,14400.0,588.0,Low
98.0,67.263269,7.5,4.223371832750837,Standard,9604.0,735.0,Good
109.0,69.405188,5.9,4.254266953630606,Standard,11881.0,643.1,Average
121.0,481.098624,7.9,6.178148707227873,Long,14641.0,955.9000000000001,Good
169.0,724.247784,8.1,6.586513367498742,Very Long,28561.0,1368.8999999999999,Excellent
148.0,167.58371,8.1,5.127432421682736,Long,21904.0,1198.8,Excellent
120.0,9.476999,6.5,2.3491822829236533,Standard,14400.0,780.0,Average
169.0,108.849621,7.0,4.699112348665359,Very Long,28561.0,1183.0,Good
106.0,6.909942,6.6,2.068120449262161,Standard,11236.0,699.5999999999999,Good
166.0,60.269279,7.3,4.11527855908223,Very Long,27556.0,1211.8,Good
132.0,3.195174,7.1,1.4339348170089237,Long,17424.0,937.1999999999999,Good
137.0,127.284427,6.6,4.854249884675382,Long,18769.0,904.1999999999999,Good
109.0,35.580815,5.8,3.599523922648916,Standard,11881.0,632.1999999999999,Average
99.0,21.133748,5.5,3.0971035025785407,Standard,9801.0,544.5,Average
113.0,56.268916,6.5,4.047757998341177,Standard,12769.0,734.5,Average
93.0,42.986467,6.0,3.783882018427649,Standard,8649.0,558.0,Average
123.0,63.148529,6.3,4.161201160167402,Long,15129.0,774.9,Average
126.0,202.042635,5.8,5.313415981620244,Long,15876.0,730.8,Average
113.0,49.661984,6.2,3.9251758068544462,Standard,12769.0,700.6,Average
144.0,25.468493,6.6,3.2759550822420254,Long,20736.0,950.4,Good
175.0,39.019229,5.6,3.6893600636026913,Very Long,30625.0,979.9999999999999,Average
138.0,78.14439499999997,7.4,4.371273968911125,Long,19044.0,1021.2,Good
157.0,101.250416,7.5,4.6274248633742925,Very Long,24649.0,1177.5,Good
92.0,56.758410999999995,6.2,4.056268983818342,Standard,8464.0,570.4,Average
101.0,70.867401,6.9,4.274822768310819,Standard,10201.0,696.9000000000001,Good
115.0,53.90559200000001,6.7,4.005615201251817,Standard,13225.0,770.5,Good
111.0,65.677399,7.5,4.199866049923233,Standard,12321.0,832.5,Good
140.0,115.040024,7.5,4.753935166078414,Long,19600.0,1050.0,Good
89.0,44.141021,6.2,3.8097913896537543,Short,7921.0,551.8000000000001,Average
105.0,81.781591,5.9,4.416205705754157,Standard,11025.0,619.5,Average
107.0,5.954333999999999,6.2,1.939365062343113,Standard,11449.0,663.4,Average
129.0,73.313918,6.4,4.308298255850111,Long,16641.0,825.6,Average
102.0,165.125366,7.3,5.112742720191253,Standard,10404.0,744.6,Good
138.0,70.78591,6.7,4.27368821724236,Long,19044.0,924.6,Good
112.0,99.499595,6.8,4.610153697640264,Standard,12544.0,761.6,Good
120.0,434.278564,7.2,6.075986203146313,Standard,14400.0,864.0,Good
138.0,67.447636,6.5,4.2260690149802915,Long,19044.0,897.0,Average
115.0,86.493424,6.6,4.47156363625363,Standard,13225.0,759.0,Good
98.0,41.845878000000006,6.3,3.7576094443839816,Standard,9604.0,617.4,Average
88.0,26.710398,5.1,3.3218077218175712,Short,7744.0,448.79999999999995,Average
99.0,44.927634999999995,5.5,3.827067005612018,Standard,9801.0,544.5,Average
113.0,50.306728,5.7,3.9378218936747675,Standard,12769.0,644.1,Average
131.0,114.52223700000002,7.1,4.749463039569213,Long,17161.0,930.0999999999999,Good
102.0,21.214571,5.5,3.100748424925242,Standard,10404.0,561.0,Average
91.0,29.332905,5.7,3.412233096869919,Standard,8281.0,518.7,Average
91.0,51.247321,6.7,3.9559886168031566,Standard,8281.0,609.7,Good
103.0,33.769335999999996,4.7,3.548735848914787,Standard,10609.0,484.1,Low
126.0,63.079003,6.5,4.160116743962412,Long,15876.0,819.0,Average
131.0,39.004588,6.4,3.6889941475363943,Long,17161.0,838.4000000000001,Average
88.0,12.362599,5.5,2.5924596851169834,Short,7744.0,484.0,Average
85.0,22.550135,6.0,3.1591315529300728,Short,7225.0,510.0,Average
111.0,48.03528,5.9,3.8925400390349756,Standard,12321.0,654.9000000000001,Average
92.0,38.73494,6.7,3.6822309013872276,Standard,8464.0,616.4,Good
163.0,66.803149,6.9,4.216608639295523,Very Long,26569.0,1124.7,Good
93.0,44.989192,6.4,3.828406412360748,Standard,8649.0,595.2,Average
133.0,54.159392,5.8,4.010227030384295,Long,17689.0,771.4,Average
116.0,66.21806,5.3,4.207941961422292,Standard,13456.0,614.8,Average
151.0,58.485967,6.4,4.0857404359954,Very Long,22801.0,966.4000000000001,Average
88.0,91.332849,6.0,4.525399972018106,Short,7744.0,528.0,Average
115.0,35.60166500000001,5.5,3.6000937311758787,Standard,13225.0,632.5,Average
95.0,56.747978,6.7,4.056088335801921,Standard,9025.0,636.5,Good
133.0,77.77476999999998,6.8,4.366592767931047,Long,17689.0,904.4,Good
97.0,61.788035,7.1,4.139764529844162,Standard,9409.0,688.6999999999999,Good
90.0,25.159168,5.9,3.2641997218018854,Short,8100.0,531.0,Average
154.0,52.341226,7.3,3.9767095031166475,Very Long,23716.0,1124.2,Good
150.0,101.599427,5.6,4.630832347925753,Long,22500.0,840.0,Average
127.0,73.61680799999998,7.4,4.312365790142601,Long,16129.0,939.8000000000001,Good
121.0,82.502566,6.8,4.424877361923559,Long,14641.0,822.8,Good
102.0,100.21391,7.6,4.617236198000783,Standard,10404.0,775.1999999999999,Good
127.0,56.257249,5.3,4.047554254506038,Long,16129.0,673.1,Average
121.0,17.88953,4.9,2.938607800314524,Long,14641.0,592.9000000000001,Low
163.0,64.798873,7.0,4.186602710525017,Very Long,26569.0,1141.0,Good
127.0,24.855701,6.3,3.252531118224791,Long,16129.0,800.1,Average
138.0,34.981698,5.3,3.583010420293774,Long,19044.0,731.4,Average
110.0,59.325589,5.4,4.099756375242958,Standard,12100.0,594.0,Average
124.0,21.605568,5.7,3.1181962476151375,Long,15376.0,706.8000000000001,Average
106.0,26.074907999999997,5.9,3.2986073949126755,Standard,11236.0,625.4000000000001,Average
124.0,74.50624599999998,6.6,4.324215381309989,Long,15376.0,818.4,Good
128.0,39.604363,6.0,3.703875523888134,Long,16384.0,768.0,Average
138.0,36.973031,6.9,3.636876197236333,Long,19044.0,952.2,Good
115.0,99.687084,6.1,4.612017529333376,Standard,13225.0,701.5,Average
100.0,17.7735,5.8,2.9324463009831785,Standard,10000.0,580.0,Average
114.0,62.898336,6.1,4.157293320355849,Standard,12996.0,695.4,Average
120.0,44.19092,6.0,3.810896181702348,Standard,14400.0,720.0,Average
156.0,100.635882,7.3,4.621396642086125,Very Long,24336.0,1138.8,Good
96.0,44.765377,6.1,3.823527844539074,Standard,9216.0,585.5999999999999,Average
107.0,29.91353,6.6,3.4311939521468684,Standard,11449.0,706.1999999999999,Good
92.0,84.366984,6.5,4.446959421828391,Standard,8464.0,598.0,Average
115.0,45.381501,7.3,3.83690069439125,Standard,13225.0,839.5,Good
90.0,84.68964799999998,6.9,4.450732024842038,Short,8100.0,621.0,Good
117.0,120.09361,7.0,4.79656388285802,Standard,13689.0,819.0,Good
146.0,76.310119,7.4,4.347824852588733,Long,21316.0,1080.4,Good
94.0,63.473086,6.8,4.166247865401996,Standard,8836.0,639.1999999999999,Good
116.0,48.572726,6.2,3.903440803459704,Standard,13456.0,719.2,Average
147.0,38.068736,6.3,3.6653225563552563,Long,21609.0,926.1,Average
90.0,20.678787,6.4,3.076334224821674,Short,8100.0,576.0,Average
100.0,48.829437,6.2,3.908605913814876,Standard,10000.0,620.0,Average
139.0,46.115758,5.6,3.8526075098239025,Long,19321.0,778.4,Average
107.0,89.938296,6.7,4.510181210592107,Standard,11449.0,716.9,Good
141.0,79.679601,7.7,4.3904857676102225,Long,19881.0,1085.7,Good
165.0,28.840997,6.3,3.3958831863055576,Very Long,27225.0,1039.5,Average
100.0,42.840582,5.0,3.780559918099086,Standard,10000.0,500.0,Low
82.0,26.548594,6.2,3.3159514998138615,Short,6724.0,508.40000000000003,Average
97.0,115.597753,6.1,4.758730002718697,Standard,9409.0,591.6999999999999,Average
95.0,68.757242,6.7,4.245021243268715,Standard,9025.0,636.5,Good
152.0,109.984351,7.5,4.709389209391459,Very Long,23104.0,1140.0,Good
96.0,39.448066,5.4,3.7000188302477444,Standard,9216.0,518.4000000000001,Average
143.0,271.972889,7.5,5.609372482561317,Long,20449.0,1072.5,Good
123.0,206.227151,6.6,5.333815539445434,Long,15129.0,811.8,Good
149.0,45.313196999999995,6.5,3.83542695287558,Long,22201.0,968.5,Average
102.0,42.40024,6.3,3.770464971044986,Standard,10404.0,642.6,Average
133.0,2.871739,6.8,1.3537037601175816,Long,17689.0,904.4,Good
130.0,7.255717999999999,7.1,2.1109060511791,Long,16900.0,923.0,Good
129.0,81.49962099999998,7.0,4.412793699390689,Long,16641.0,903.0,Good
106.0,47.686442,5.6,3.885400592971238,Standard,11236.0,593.5999999999999,Average
113.0,43.129703000000006,7.1,3.787133093143241,Standard,12769.0,802.3,Good
102.0,27.220157,6.4,3.3400365098393836,Standard,10404.0,652.8000000000001,Average
120.0,90.33681,6.0,4.514553882688911,Standard,14400.0,720.0,Average
125.0,50.073575,4.2,3.9332672401676265,Long,15625.0,525.0,Low
104.0,45.419668,6.2,3.837723248731098,Standard,10816.0,644.8000000000001,Average
124.0,41.380094,6.2,3.7466787708650644,Long,15376.0,768.8000000000001,Average
123.0,54.931334,5.9,4.024124759791685,Long,15129.0,725.7,Average
130.0,25.752118,6.2,3.2866136477777306,Long,16900.0,806.0,Average
92.0,60.810723,5.4,4.124076860739157,Standard,8464.0,496.8,Average
127.0,51.328145,7.2,3.9575343716381024,Long,16129.0,914.4,Good
114.0,46.834703999999995,5.2,3.8677514011732828,Standard,12996.0,592.8000000000001,Average
123.0,62.641286,5.9,4.153262410682138,Long,15129.0,725.7,Average
106.0,33.616115,5.2,3.544319325080227,Standard,11236.0,551.2,Average
124.0,68.889395,6.3,4.246913920991418,Long,15376.0,781.1999999999999,Average
78.0,27.99028400000001,5.4,3.3669607393671246,Short,6084.0,421.20000000000005,Average
109.0,67.33766999999999,6.4,4.224461151871215,Standard,11881.0,697.6,Average
119.0,27.835436,6.3,3.3616050474663273,Standard,14161.0,749.6999999999999,Average
102.0,66.757869,5.7,4.215940600616676,Standard,10404.0,581.4,Average
135.0,17.060695000000006,5.7,2.893738030083389,Long,18225.0,769.5,Average
121.0,11.137655,4.9,2.4963126038757593,Long,14641.0,592.9000000000001,Low
109.0,44.906918,5.9,3.8266158246637874,Standard,11881.0,643.1,Average
124.0,67.698004,6.4,4.229720144948882,Long,15376.0,793.6,Average
140.0,44.108427,7.1,3.809069080495318,Long,19600.0,994.0,Good
142.0,43.987061,6.4,3.806374915091352,Long,20164.0,908.8000000000001,Average
92.0,106.815545,7.5,4.6804218503051,Standard,8464.0,690.0,Good
126.0,15.953444,6.3,2.83047099902772,Long,15876.0,793.8,Average
136.0,54.035265,6.3,4.007974161581415,Long,18496.0,856.8,Average
98.0,64.18332099999999,6.8,4.177203623323475,Standard,9604.0,666.4,Good
116.0,20.344364,5.0,3.0607877235608094,Standard,13456.0,580.0,Low
134.0,18.714197,5.8,2.981339036091766,Long,17956.0,777.1999999999999,Average
114.0,60.467983999999994,6.0,4.118516453895011,Standard,12996.0,684.0,Average
101.0,143.350376,5.8,4.9722435108856,Standard,10201.0,585.8,Average
91.0,110.153618,7.3,4.710913190487734,Standard,8281.0,664.3,Good
108.0,16.90444,5.7,2.885048726781448,Standard,11664.0,615.6,Average
112.0,39.873791,5.8,3.710489050798329,Standard,12544.0,649.6,Average
100.0,38.126095,4.4,3.6667896356891294,Standard,10000.0,440.00000000000006,Low
108.0,48.780039,6.3,3.9076140803863066,Standard,11664.0,680.4,Average
114.0,100.412364,6.0,4.619195016662722,Standard,12996.0,684.0,Average
119.0,42.887121,6.0,3.7816209057409425,Standard,14161.0,714.0,Average
165.0,23.657284,6.8,3.205072353795476,Very Long,27225.0,1122.0,Good
125.0,76.840712,6.4,4.354664584804056,Long,15625.0,800.0,Average
120.0,44.635452,6.5,3.820684870598216,Standard,14400.0,780.0,Average
119.0,103.718387,6.2,4.651274718503644,Standard,14161.0,737.8000000000001,Average
170.0,45.616098,7.0,3.8419459321210416,Very Long,28900.0,1190.0,Good
85.0,22.845143,4.9,3.1715805487965794,Short,7225.0,416.50000000000006,Low
119.0,31.70360800000001,5.5,3.4874854082080335,Standard,14161.0,654.5,Average
102.0,71.51059599999998,6.1,4.283732702905644,Standard,10404.0,622.1999999999999,Average
103.0,36.65422,5.5,3.628445032958209,Standard,10609.0,566.5,Average
76.0,19.625972,5.7,3.026551058383017,Short,5776.0,433.2,Average
121.0,86.105615,5.9,4.4671213479114895,Long,14641.0,713.9000000000001,Average
127.0,37.19504600000001,6.6,3.642705821338717,Long,16129.0,838.1999999999999,Good
105.0,32.473628000000005,5.5,3.510757904926989,Standard,11025.0,577.5,Average
121.0,23.336875,4.1,3.191992689834412,Long,14641.0,496.09999999999997,Low
114.0,45.94834,6.6,3.8490478482666934,Standard,12996.0,752.4,Good
128.0,48.93337,6.4,3.9106895167271563,Long,16384.0,819.2,Average
178.0,138.049577,8.0,4.9348305386041496,Very Long,31684.0,1424.0,Good
120.0,22.64377600000001,5.7,3.1630999090549556,Standard,14400.0,684.0,Average
157.0,18.866672,6.7,2.9890435538595344,Very Long,24649.0,1051.9,Good
82.0,18.251129,4.9,2.9575697083646366,Short,6724.0,401.8,Low
115.0,95.914473,6.7,4.573828867908721,Standard,13225.0,770.5,Good
144.0,44.490453,6.6,3.8175024797649084,Long,20736.0,950.4,Good
84.0,30.475297,5.8,3.449203015946257,Short,7056.0,487.2,Average
97.0,62.479574,6.7,4.150718184860644,Standard,9409.0,649.9,Good
141.0,167.93287,7.6,5.129501417075823,Long,19881.0,1071.6,Good
136.0,37.68056,6.5,3.6553371482465793,Long,18496.0,884.0,Average
104.0,1.004579,3.7,0.6954340636483386,Standard,10816.0,384.8,Low
118.0,52.995628,6.1,3.988903080323634,Standard,13924.0,719.8,Average
155.0,95.301296,7.9,4.567481776657448,Very Long,24025.0,1224.5,Good
145.0,65.948959,7.1,4.203930523099194,Long,21025.0,1029.5,Good
161.0,132.397737,7.4,4.893335169319641,Very Long,25921.0,1191.4,Good
144.0,88.935165,7.3,4.499089021836616,Long,20736.0,1051.2,Good
119.0,51.188633,5.6,3.9548647125550525,Standard,14161.0,666.4,Average
137.0,101.74155,7.7,4.632216611551756,Long,18769.0,1054.9,Good
140.0,33.691694,6.5,3.546500292305965,Long,19600.0,910.0,Average
157.0,42.361215,7.4,3.769565377956516,Very Long,24649.0,1161.8,Good
141.0,38.729418,6.8,3.682091920839272,Long,19881.0,958.8,Good
106.0,40.597856,6.2,3.728048627477527,Standard,11236.0,657.2,Average
98.0,32.389353,5.4,3.508237076708826,Standard,9604.0,529.2,Average
107.0,24.399642,6.1,3.2347350794369736,Standard,11449.0,652.6999999999999,Average
115.0,24.507987,5.6,3.238991618808862,Standard,13225.0,644.0,Average
165.0,82.121691,7.8,4.420305690664881,Very Long,27225.0,1287.0,Good
91.0,46.727940999999994,6.8,3.865516991599989,Standard,8281.0,618.8,Good
78.0,51.113717,7.2,3.9534281962563704,Short,6084.0,561.6,Good
103.0,53.73289200000001,6.1,4.002464844980316,Standard,10609.0,628.3,Average
131.0,58.849256,6.4,4.091829000849021,Long,17161.0,838.4000000000001,Average
104.0,30.863434,4.9,3.4614590827288603,Standard,10816.0,509.6,Low
101.0,31.58621500000001,6.4,3.483889346184487,Standard,10201.0,646.4000000000001,Average
102.0,36.711378,6.4,3.6299618526339135,Standard,10404.0,652.8000000000001,Average
103.0,41.426678,6.0,3.747777362488979,Standard,10609.0,618.0,Average
121.0,20.652943,5.5,3.0751413805450016,Long,14641.0,665.5,Average
143.0,52.792678,7.3,3.9851373612514736,Long,20449.0,1043.8999999999999,Good
121.0,48.205606,5.2,3.8960075600966726,Long,14641.0,629.2,Average
129.0,58.782359,6.7,4.090710617435526,Long,16641.0,864.3000000000001,Good
172.0,73.872343,6.6,4.3157845699962945,Very Long,29584.0,1135.2,Good
97.0,37.321848,6.5,3.6460201774095777,Standard,9409.0,630.5,Average
104.0,32.271938,4.2,3.5047143390101656,Standard,10816.0,436.8,Low
99.0,76.842247,5.6,4.354684304367583,Standard,9801.0,554.4,Average
95.0,38.924136,7.2,3.686981053290835,Standard,9025.0,684.0,Good
102.0,19.38841,5.3,3.0149666021441446,Standard,10404.0,540.6,Average
127.0,61.025639,6.1,4.127547831822257,Long,16129.0,774.6999999999999,Average
114.0,33.507289,5.5,3.5411705770841366,Standard,12996.0,627.0,Average
94.0,17.815595000000005,3.6,2.934686047249873,Standard,8836.0,338.40000000000003,Low
122.0,50.767332,6.5,3.946759293947403,Long,14884.0,793.0,Average
95.0,12.092241,4.4,2.572019764657712,Standard,9025.0,418.00000000000006,Low
115.0,30.254021,6.4,3.442148039904879,Standard,13225.0,736.0,Average
88.0,34.308098,6.5,3.564112342729075,Short,7744.0,572.0,Average
110.0,3.091077,7.1,1.4088082605740935,Standard,12100.0,781.0,Good
130.0,41.862983,6.0,3.7580085863169748,Long,16900.0,780.0,Average
167.0,46.160048,7.1,3.853547093480357,Very Long,27889.0,1185.7,Good
145.0,12.516546,7.1,2.603914564603156,Long,21025.0,1029.5,Good
85.0,23.230851,5.9,3.187626655961577,Short,7225.0,501.50000000000006,Average
93.0,19.224754,5.4,3.006907299706183,Standard,8649.0,502.20000000000005,Average
144.0,44.455166,7.2,3.8167264775306333,Long,20736.0,1036.8,Good
85.0,16.460356,5.6,2.8599329396652204,Short,7225.0,475.99999999999994,Average
126.0,109.528572,7.3,4.705274057670058,Long,15876.0,919.8,Good
146.0,18.325897,5.4,2.9614460099551323,Long,21316.0,788.4000000000001,Average
89.0,37.054554,7.0,3.639020761771554,Short,7921.0,623.0,Good
88.0,65.22986800000001,6.2,4.193131539440395,Short,7744.0,545.6,Average
105.0,101.187052,6.7,4.626804976984103,Standard,11025.0,703.5,Good
136.0,29.257137,6.6,3.409732090533126,Long,18496.0,897.5999999999999,Good
100.0,85.688789,7.6,4.462324567467024,Standard,10000.0,760.0,Good
102.0,63.628459,5.2,4.168654855574175,Standard,10404.0,530.4,Average
100.0,41.498631,5.7,3.749471863646855,Standard,10000.0,570.0,Average
119.0,58.991388,5.9,4.0942010185868725,Standard,14161.0,702.1,Average
92.0,1.859364,5.7,1.050599222479814,Standard,8464.0,524.4,Average
105.0,138.433168,7.0,4.937585404027487,Standard,11025.0,735.0,Good
95.0,21.436682,6.3,3.110697208759419,Standard,9025.0,598.5,Average
98.0,65.40259499999999,5.2,4.195736137044034,Standard,9604.0,509.6,Average
137.0,10.660441,5.8,2.4562020018194772,Long,18769.0,794.6,Average
115.0,77.817571,7.4,4.367135954240493,Standard,13225.0,851.0,Good
119.0,7.029308,5.7,2.0830983474083715,Standard,14161.0,678.3000000000001,Average
118.0,61.121717,6.0,4.12909563795002,Standard,13924.0,708.0,Average
98.0,104.121555,6.9,4.655117347244851,Standard,9604.0,676.2,Good
92.0,73.575118,7.3,4.311806912699259,Standard,8464.0,671.6,Good
98.0,37.698465,6.3,3.6557999351664083,Standard,9604.0,617.4,Average
90.0,35.814765,6.4,3.6058989875326173,Short,8100.0,576.0,Average
130.0,15.835672,6.3,2.8234999686562987,Long,16900.0,819.0,Average
90.0,46.781182,6.5,3.866631879975936,Short,8100.0,585.0,Average
94.0,69.457898,6.5,4.255015339938998,Standard,8836.0,611.0,Average
114.0,43.348022,7.0,3.792068107986468,Standard,12996.0,798.0,Good
98.0,40.20395,5.6,3.7185341255462907,Standard,9604.0,548.8,Average
151.0,63.429157,7.9,4.165566279097859,Very Long,22801.0,1192.9,Good
88.0,67.427755,7.6,4.225778517177954,Short,7744.0,668.8,Good
107.0,43.192048,6.5,3.7885448633957344,Standard,11449.0,695.5,Average
158.0,47.651083,7.2,3.884674069432545,Very Long,24964.0,1137.6000000000001,Good
128.0,51.88107700000001,6.9,3.9680455622044106,Long,16384.0,883.2,Good
128.0,57.834787,7.0,4.074733295615296,Long,16384.0,896.0,Good
125.0,29.608322,5.3,3.4212719327680183,Long,15625.0,662.5,Average
95.0,51.548589,6.7,3.961738246344017,Standard,9025.0,636.5,Good
92.0,27.867368,5.8,3.3627118222171553,Standard,8464.0,533.6,Average
121.0,38.832842,6.7,3.6846917478993486,Long,14641.0,810.7,Good
113.0,40.597344,5.5,3.728036319075119,Standard,12769.0,621.5,Average
105.0,140.849495,5.6,4.954766601149827,Standard,11025.0,588.0,Average
146.0,34.035114,6.8,3.5563508157061716,Long,21316.0,992.8,Good
99.0,16.302378,5.2,2.8508439487048327,Standard,9801.0,514.8000000000001,Average
150.0,55.249433999999994,7.2,4.029795978811682,Long,22500.0,1080.0,Good
112.0,28.200874,5.6,3.3741986403331468,Standard,12544.0,627.1999999999999,Average
128.0,18.69984,6.2,2.9806105138835495,Long,16384.0,793.6,Average
